순위,곡명,가수명,좋아요,
1,아무노래,지코 (ZICO),267006,
2,METEOR,창모 (CHANGMO),285567,
3,아로하,조정석,236622,
4,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,304975,
5,에잇(Prod.&Feat. SUGA of BTS),아이유,380467,
6,Blueming,아이유,341338,
7,늦은 밤 너의 집 앞 골목길에서,노을,197032,
8,시작,가호 (Gaho),232963,
9,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,438330,
10,Psycho,Red Velvet (레드벨벳),231287,
11,어떻게 이별까지 사랑하겠어 널 사랑하는 거지,AKMU (악뮤),386782,
12,Dynamite,방탄소년단,439860,
13,마음을 드려요,아이유,233050,
14,처음처럼,엠씨더맥스 (M.C the MAX),112349,
15,How You Like That,BLACKPINK,193695,
16,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),189719,
17,ON,방탄소년단,264750,
18,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),265257,
19,Downtown Baby,블루 (BLOO),196476,
20,마리아 (Maria),화사 (Hwa Sa),161898,
21,어떻게 지내 (Prod. By VAN.C),오반,182841,
22,모든 날 모든 순간 (Every day Every Moment),폴킴,398834,
23,다시 여기 바닷가,싹쓰리 (유두래곤 린다G 비룡),239117,
24,Dolphin,오마이걸 (OH MY GIRL),199146,
25,사랑하게 될 줄 알았어,전미도,149608,
26,안녕,폴킴,204932,
27,그때 그 아인,김필,127415,
28,취기를 빌려 (취향저격 그녀 X 산들),산들,218143,
29,Love poem,아이유,328544,
30,HIP,마마무 (Mamamoo),138460,
31,우리 왜 헤어져야 해,신예영,126843,
32,좋은 사람 있으면 소개시켜줘,조이 (JOY),125820,
33,너를 사랑하고 있어,백현 (BAEKHYUN),162934,
34,봄날,방탄소년단,563649,
35,Black Swan,방탄소년단,202967,
36,Summer Hate (Feat. 비),지코 (ZICO),113880,
37,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,170803,
38,다시 난 여기,백예린 (Yerin Baek),121608,
39,눈누난나 (NUNU NANA),제시 (Jessi),106200,
40,돌덩이,하현우 (국카스텐),116182,
41,오래된 노래,스탠딩 에그,249038,
42,사랑이란 멜로는 없어,전상근,131153,
43,반만,진민호,71334,
44,시든 꽃에 물을 주듯,HYNN (박혜원),204957,
45,너를 만나,폴킴,306391,
46,Square (2017),백예린 (Yerin Baek),258131,
47,FIESTA,IZ*ONE (아이즈원),134187,
48,덤더럼 (Dumhdurum),Apink (에이핑크),94511,
49,아마두 (feat.우원재 김효은 넉살 Huckleberry P),염따,161668,
50,조금 취했어 (Prod. 2soo),임재현,120545,
