,순위,곡명,가수명,좋아요,Unnamed: 4
0,1,아무노래,지코 (ZICO),265559,
1,2,METEOR,창모 (CHANGMO),282757,
2,3,아로하,조정석,235241,
3,4,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,303550,
4,5,에잇(Prod.&Feat. SUGA of BTS),아이유,378799,
5,6,Blueming,아이유,338189,
6,7,늦은 밤 너의 집 앞 골목길에서,노을,195054,
7,8,시작,가호 (Gaho),230872,
8,9,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,435459,
9,10,Psycho,Red Velvet (레드벨벳),229836,
10,11,어떻게 이별까지 사랑하겠어 널 사랑하는 거지,AKMU (악뮤),383003,
11,12,Dynamite,방탄소년단,435383,
12,13,마음을 드려요,아이유,231002,
13,14,처음처럼,엠씨더맥스 (M.C the MAX),111773,
14,15,How You Like That,BLACKPINK,192291,
15,16,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),188717,
16,17,ON,방탄소년단,264704,
17,18,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),262545,
18,19,Downtown Baby,블루 (BLOO),195412,
19,20,마리아 (Maria),화사 (Hwa Sa),161615,
20,21,어떻게 지내 (Prod. By VAN.C),오반,179820,
21,22,모든 날 모든 순간 (Every day Every Moment),폴킴,394295,
22,23,다시 여기 바닷가,싹쓰리 (유두래곤 린다G 비룡),236669,
23,24,Dolphin,오마이걸 (OH MY GIRL),197703,
24,25,사랑하게 될 줄 알았어,전미도,148862,
25,26,안녕,폴킴,203120,
26,27,그때 그 아인,김필,124814,
27,28,취기를 빌려 (취향저격 그녀 X 산들),산들,215769,
28,29,Love poem,아이유,326711,
29,30,HIP,마마무 (Mamamoo),138056,
30,31,우리 왜 헤어져야 해,신예영,124849,
31,32,좋은 사람 있으면 소개시켜줘,조이 (JOY),125135,
32,33,너를 사랑하고 있어,백현 (BAEKHYUN),161916,
33,34,봄날,방탄소년단,561367,
34,35,Black Swan,방탄소년단,203206,
35,36,Summer Hate (Feat. 비),지코 (ZICO),112163,
36,37,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,169279,
37,38,다시 난 여기,백예린 (Yerin Baek),120254,
38,39,눈누난나 (NUNU NANA),제시 (Jessi),105693,
39,40,돌덩이,하현우 (국카스텐),115255,
